Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,address
Abbot Street/ Shawmut Ave,Roxbury,2119.0,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,"100 Shawmut Ave, Boston, MA 02118, United States"
Academy Homes I,Roxbury,2119.0,202,202,0,52.0,52.0,0.0,150,150,0.0,Rental,Private,,,"1592 Columbus Ave, Roxbury, MA 02119, United States"
Academy Homes II,Roxbury,2119.0,236,236,0,0.0,0.0,0.0,236,236,0.0,Rental,Private,,Y,"2926 Washington St, Roxbury, MA 02119, United States"
Adams Court Phase A,Mattapan,2126.0,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,
Adams Court Phase B,Mattapan,2126.0,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,,
Adams Templeton Elderly Housing,Dorchester,2124.0,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y,"445 Adams St, Dorchester, MA 02122, United States"
Alcott Apts [Garden Garage],West End,2114.0,470,470,0,453.0,453.0,0.0,17,17,0.0,Rental,Private,,,"35 Lomasney Way, Boston, MA 02114, United States"
Alexander-Magnolia,Dorchester,2125.0,40,40,0,2.0,2.0,0.0,38,38,0.0,Rental,Private,,,"36 Alexander St, Boston, MA 02125, United States"
"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,2120.0,363,363,0,0.0,0.0,0.0,363,363,0.0,Rental,Public,,,
Allele Condominium,South Boston,2127.0,47,0,47,41.0,0.0,41.0,6,0,6.0,Ownership,Private,,,"150 Dorchester Ave, Boston, MA 02127, United States"
Alleyne (VUP) CDFI,Roxbury,2121.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Alpine Street Village,Hyde Park,2136.0,44,0,44,40.0,0.0,40.0,4,0,4.0,Rental,Private,,,"Alpine St, Boston, MA 02136, USA"
Amiff Housing,Dorchester,2124.0,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,Y,"64 American Legion Hwy, Boston, MA 02124, United States"
Amory Foundry (Phase I),Jamaica Plain,2130.0,23,0,23,18.0,,18.0,5,0,5.0,Ownership,Private,,,"284 Amory St, Boston, MA 02130, United States"
Amory Street (2-45),Jamaica Plain,2119.0,215,215,0,0.0,0.0,0.0,215,215,0.0,Rental,Private,Y,,"245 Amory St, Boston, MA 02130, USA"
Amory Terrace,Jamaica Plain,2119.0,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,,,"Amory Terrace, Boston, MA 02119, USA"
Amy Lowell House,West End,2114.0,152,152,0,30.0,30.0,0.0,122,122,0.0,Rental,Private,,,"65 Martha Rd, Boston, MA 02114, United States"
Anderson Park,Beacon Hill,2114.0,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,Y,Y,"250 Cambridge St # 1, Boston, MA 02114, United States"
Andrade (VUP),Dorchester,2122.0,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Andrew Square Apts,South Boston,2127.0,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,"235 Old Colony Ave, Boston, MA 02127, United States"
Angela Westover House,Jamaica Plain,2130.0,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,Y,Y,
Annapolis (2-27),Dorchester,2125.0,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,,
Archdale (200-7),Roslindale,2131.0,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,,"200 Archdale Rd, Boston, MA 02131, USA"
Archstone Boston Common,Chinatown,2111.0,420,420,0,374.0,374.0,0.0,46,46,0.0,Rental,Private,,,"660 Washington St, Boston, MA 02111, United States"
Armory Condos,Charlestown,2129.0,42,0,42,36.0,0.0,36.0,6,0,6.0,Ownership,Private,,,"380 Bunker Hill St, Charlestown, MA 02129, United States"
Ashmont (2-28),Dorchester,2124.0,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Public,Y,,"228 Ashmont St, Boston, MA 02124, USA"
Ashmont TOD (Housing),Dorchester,2124.0,116,74,42,42.0,0.0,42.0,74,74,0.0,Rental,Private,,,"1916 Dorchester Ave, Dorchester, MA 02124, United States"
Astoria Street Condos (Elizabeth Street),Mattapan,2126.0,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"217 Elizabeth St, New York, NY 10012, United States"
Atlantic Wharf,Downtown,2210.0,86,86,0,81.0,81.0,0.0,5,5,0.0,Rental,Private,,,"280 Congress St, Boston, MA 02210, United States"
