,Neighborhood,Building Address,For Current Vacancies and More Information,Number of Units Tracked,Bedroom Sizes,AMI Categories,match,address_candidates
0,Allston,8 Griggs Street,The Mount Vernon Company: 617.267.0006,2.0,1BR,80-100%; 100%,8 GRIGGS STREET ALLSTON,"['8 Griggs St, Boston, MA 02134, USA']"
1,Allston,31 North Beacon Street,Carol Fiore: cfiore@78clean.com,3.0,"Studio, 1BR, 2BR",70%,31 NORTH BEACON STREET ALLSTON,"['31 N Beacon St, Boston, MA 02134, USA']"
2,Allston,40 Malvern Street,40Malvern@maloneyproperties.com,6.0,"1BR, 2BR",70%,40 MALVERN STREET ALLSTON,"['40 Malvern St, Boston, MA 02134, USA']"
3,Allston,450 Cambridge Street,"Maloney Properties: 617.209.5406
450Cambridge@maloneyproperties.com",5.0,"1BR, 2BR",70%,450 CAMBRIDGE STREET ALLSTON,"['450 Cambridge St, Allston, MA 02134, USA']"
4,Allston,1505 Commonwealth Avenue,LBC Boston: 617.599.7261,10.0,"Studio, 1BR, 2BR",70%,1505 COMMONWEALTH AVENUE ALLSTON,"['1505 Commonwealth Ave, Brighton, MA 02135, USA']"
5,Allston,"Continuum
219 Western Avenue",Continuum@maloneyproperties.com,42.0,"Studio, 1BR, 2BR, 3BR",70%,CONTINUUM 219 WESTERN AVENUE ALLSTON,"['219 Western Ave, Allston, MA 02134, United States']"
6,Allston,"The Eco Allston
75 Brainerd Road",National Development: 857.576.6160,14.0,"Studio, 1BR, 2BR",70%,THE ECO ALLSTON 75 BRAINERD ROAD ALLSTON,"['77 Brainerd Rd, Allston, MA 02134, United States']"
7,Allston,"The Edge
60–66 Brainerd Road",National Development: 857.576.6160,10.0,"Studio, 1BR, 2BR",70%,THE EDGE 60–66 BRAINERD ROAD ALLSTON,"['60-66 Brainerd Rd, Boston, MA 02134, USA']"
8,Allston,"The Element
65 Brainerd Road",National Development: 857.576.6160,4.0,"Studio, 1BR",70%,THE ELEMENT 65 BRAINERD ROAD ALLSTON,"['65 Brainerd Rd, Boston, MA 02134, United States']"
9,Allston,"The Gateway
1298 & 1302 Commonwealth Ave",Mount Vernon: 617.267.0006,8.0,"Studio, 1BR",70%,THE GATEWAY 1298 & 1302 COMMONWEALTH AVE ALLSTON,"['1298-1302 Commonwealth Ave, Boston, MA 02134, United States']"
10,Allston,"The Radius Apartments
530 Western Avenue ",Radius@maloneyproperties.com,17.0,"micro, studio, 1BD, 2BD",70%,THE RADIUS APARTMENTS 530 WESTERN AVENUE  ALLSTON,"['530 Western Ave, Boston, MA 02135, United States']"
11,Allston,"Trac 75
75 Braintree Street","Dolben: 617-539-7575
trac75@dolben.com",11.0,"Studio, 1BR, 2BR, 3BR",70%,TRAC 75 75 BRAINTREE STREET ALLSTON,"['75 Braintree St, Allston, MA 02134, United States']"
12,Back Bay,"30 Dalton
30 Dalton Street",Bozzuto Management Co.: 617.302.9874,14.0,"1BR, 2BR",70%,30 DALTON 30 DALTON STREET BACK BAY,"['30 Dalton St, Boston, MA 02115, United States']"
13,Back Bay,"Avalon @ Exeter
77 Exeter Street",Avalon Communities: 617.236.1369,6.0,"Studio, 1BR",80-120%,AVALON @ EXETER 77 EXETER STREET BACK BAY,"['77 Exeter St, Boston, MA 02116, United States']"
14,Back Bay,"Avalon @ Prudential
780 Boylston Street",Avalon Communities: 617.536.9300,60.0,"Studio, 1BR, 2BR","65%, 65-80%, 80-100%, 100% 4persons, 100-120%",AVALON @ PRUDENTIAL 780 BOYLSTON STREET BACK BAY,"['780 Boylston St, Boston, MA 02199, United States']"
15,Back Bay,"Mandarin Oriental
778 Boylston Street","Maloney Properties: 617.209.5406
Mandarin@maloneyproperties.com",10.0,"1BR, 2BR","80%, 80-100%, 90%, 100-120%",MANDARIN ORIENTAL 778 BOYLSTON STREET BACK BAY,"['776 Boylston St, Boston, MA 02199, United States']"
16,Brighton,150 Chestnut Hill Avenue,"Maloney Properties: 617.209.5406
150Chestnut@maloneyproperties.com",3.0,2BR,70%,150 CHESTNUT HILL AVENUE BRIGHTON,"['150 Chestnut Hill Ave, Brighton, MA 02135, USA']"
17,Brighton,375 Market Street,"Maloney Properties: 617.209.5406
 375Market@maloneyproperties.com",5.0,"1BR, 2BR, 3BR",60-80%,375 MARKET STREET BRIGHTON,"['375 Market St, Brighton, MA 02135, USA']"
18,Brighton,"Hichblock
24-26 Hichborn Street","Maloney Properties: 617.209.5406
24Hichborn@maloneyproperties.com",3.0,3BR,70%,HICHBLOCK 24-26 HICHBORN STREET BRIGHTON,"['26 Hichborn St, Brighton, MA 02135, United States']"
19,Brighton,"St. Gabriel's Apartments
159-201 Washington Street",StGabriels@maloneyproperties.com,83.0,"micro, studio, 1BR, 2BR, 3BR","70%, 150%",ST. GABRIEL'S APARTMENTS 159-201 WASHINGTON STREET BRIGHTON,"['159 Washington St #201, Boston, MA 02135, United States', '159 Washington St, Brighton, MA 02135, United States']"
20,Brighton,"Waterstone at the Circle
385 Chestnut Hill Avenue","Maloney Properties: 857-325-3703
Waterstone@maloneyproperties.com",12.0,"1BR, 2BR",70%,WATERSTONE AT THE CIRCLE 385 CHESTNUT HILL AVENUE BRIGHTON,"['385 Chestnut Hill Ave, Boston, MA 02135, United States']"
21,Charlestown,"Building 33 @ the Navy Yard
33 Third Avenue","Longwood Properties, Inc.: 617.566.3100",6.0,"Studio, 1BR, 2 BR",70%,BUILDING 33 @ THE NAVY YARD 33 THIRD AVENUE CHARLESTOWN,"['33 3rd Ave, Boston, MA 02129, United States']"
22,Charlestown,"Gatehouse 75
75 West School Street","Maloney Properties: 617.209.5406
Gatehouse75@maloneyproperties.com",13.0,"Studio, 1BR, 2BR",70%,GATEHOUSE 75 75 WEST SCHOOL STREET CHARLESTOWN,"['75 W School St, Charlestown, MA 02129, United States']"
23,Charlestown,"Harborview @ the Navy Yard
250 First Avenue",Lincoln Properties: 617.242.1598,22.0,"Studio, 1BR, 2BR","80%, 100%, 120%",HARBORVIEW @ THE NAVY YARD 250 FIRST AVENUE CHARLESTOWN,"['250 1st Ave, Charlestown, MA 02129, United States']"
