"L2, Inc.","","",""
"18912 North Creek Parkway, Suite 201","","",""
"Bothell, WA 98011","","",""
"Phone: (800) 842-5478   Fax: (425) 822-0264","","",""
"Web: WWW.L2POLITICAL.COM   Email: operations@l2political.com","","",""
"","","",""
"State:","MA","",""
"Invoice:","VM2UniformMA20210119","",""
"Customer:","VOTERMAPPINGUNIFORMFORMAT","",""
"Date:","01/19/2021","",""
"Description:","","",""
"","","",""
"Output file:","VM2Uniform--MA--2021-01-19.tab","",""
"","","",""
"","","",""
"No.","Field","Length","Description"
"1","Sequence_Num","10","Unique to each universe that is exported.  This is a simple sequence number assigned to the exported records that have been pre-sorted in zig-zag walking list order"
"2","LALVOTERID","25","Permanent and unique ID generated by L2 for a single voter"
"3","Voters_Active","3","Voters_Active"
"4","Voters_StateVoterID","50","State-supplied voter ID"
"5","Voters_CountyVoterID","50","If available"
"6","VoterTelephones_LandlineAreaCode","50",""
"7","VoterTelephones_Landline7Digit","50",""
"8","VoterTelephones_LandlineFormatted","15",""
"9","VoterTelephones_LandlineUnformatted","10",""
"10","VoterTelephones_LandlineConfidenceCode","3",""
"11","VoterTelephones_CellPhoneOnly","4",""
"12","VoterTelephones_CellPhoneFormatted","15",""
"13","VoterTelephones_CellPhoneUnformatted","10",""
"14","VoterTelephones_CellConfidenceCode","3",""
"15","Voters_FirstName","50",""
"16","Voters_MiddleName","50","Sometimes represented by just a middle initial."
"17","Voters_LastName","50",""
"18","Voters_NameSuffix","12","Jr., Sr, etc."
"19","Residence_Addresses_AddressLine","500",""
"20","Residence_Addresses_ExtraAddressLine","100",""
"21","Residence_Addresses_City","30",""
"22","Residence_Addresses_State","2",""
"23","Residence_Addresses_Zip","5",""
"24","Residence_Addresses_ZipPlus4","4",""
"25","Residence_Addresses_HouseNumber","12",""
"26","Residence_Addresses_PrefixDirection","2",""
"27","Residence_Addresses_StreetName","50",""
"28","Residence_Addresses_Designator","4",""
"29","Residence_Addresses_SuffixDirection","2",""
"30","Residence_Addresses_ApartmentNum","50",""
"31","Residence_Addresses_ApartmentType","8",""
"32","Residence_Addresses_CassErrStatCode","10","Residence_Addresses_CassErrStatCode"
"33","Voters_SequenceZigZag","10","Voters_SequenceZigZag"
"34","Voters_SequenceOddEven","10","Voters_SequenceOddEven"
"35","Residence_Addresses_CensusTract","6","6 digit census tract number"
"36","Residence_Addresses_CensusBlockGroup","1","Single digit number"
"37","Residence_Addresses_CensusBlock","4","4 digit number"
"38","Residence_Addresses_Latitude","9",""
"39","Residence_Addresses_Longitude","9",""
"40","Residence_Addresses_LatLongAccuracy","100","Residence_Addresses_LatLongAccuracy"
"41","Residence_Addresses_Property_LandSq_Footage","7","Residence_Addresses_LandSqFt"
"42","Residence_Addresses_Property_HomeSq_Footage","5","Residence_Addresses_HomeSqFt"
"43","Residence_Addresses_Density","50","Residence_Addresses_Density"
"44","Residence_Families_FamilyID","10","Unique alpha-numeric ID starting with an "R" for "Residence" that is common to all members of a residence household address but different from all other residence households."
"45","Residence_Families_HHCount","3","Total number of voters residing at the given residence address, 1 thru 10"
"46","Residence_HHGender_Description","50","Cannot Determine,Female Only Household,Male Only Household,Mixed Gender Household"
"47","Residence_HHParties_Description","50","Same as Mailing HH Parties calculation but based on those sharing the same residence address rather than those sharing the same mailing address"
"48","Mailing_Addresses_AddressLine","500",""
"49","Mailing_Addresses_ExtraAddressLine","100",""
"50","Mailing_Addresses_City","30",""
"51","Mailing_Addresses_State","2",""
"52","Mailing_Addresses_Zip","5",""
"53","Mailing_Addresses_ZipPlus4","4",""
"54","Mailing_Addresses_HouseNumber","12",""
"55","Mailing_Addresses_PrefixDirection","2",""
"56","Mailing_Addresses_StreetName","50",""
"57","Mailing_Addresses_Designator","4",""
"58","Mailing_Addresses_SuffixDirection","2",""
"59","Mailing_Addresses_ApartmentNum","50",""
"60","Mailing_Addresses_ApartmentType","8",""
"61","Mailing_Addresses_CassErrStatCode","10","Mailing_Addresses_CassErrStatCode"
"62","Mailing_Families_FamilyID","10","Unique alpha-numeric ID starting with an "M" for "Mailing" that is common to all members of a mailing household address but different from all other mailing households."
"63","Mailing_Families_HHCount","3","Total number of voters residing at the given mailing address, 1 thru 10"
"64","Mailing_HHGender_Description","50","Cannot Determine,Female Only Household,Male Only Household,Mixed Gender Household"
"65","Mailing_HHParties_Description","50","Same as Residence HH Parties calculation but based on those sharing the same mailing address rather than those sharing the same residence address"
"66","Voters_Gender","1",""M", "F" or blank."
"67","Voters_Age","10","Age is based on current year minus year of birth."
"68","Voters_BirthDate","30","As reported by election authority or matched in from commercial sources.  The format is "99/99/9999"; note that in some cases where year of birth only is available, birthdate will be set to "1/1/9999""
"69","DateConfidence_Description","50","Identifies whether date is complete or is partial and if the latter, which elements are correct."
"70","Parties_Description","100","Full name of official party. See Parties tab."
"71","VoterParties_Change_Changed_Party","35","Voter changed party affiliation between Dem and Rep"
"72","Ethnic_Description","255","one of approximately 100 ethnic categories covering about 90% of voters with the remaining voters classifed as "unknown".  See Ethnic tab."
"73","EthnicGroups_EthnicGroup1Desc","30",""
"74","CountyEthnic_LALEthnicCode","4","CountyEthnic_LALEthnicCode"
"75","CountyEthnic_Description","255","CountyEthnic_Description"
"76","Religions_Description","20","Modeled data based on first name, last name and census data.  Possible values: Jewish, Catholic, Protestant, Mormon, Islamic, Buddhist, Hindu, Shinto, Sikh, Lutheran, Eastern Orthodox, Greek Orthodox, Christian"
"77","Voters_CalculatedRegDate","30","format "99/99/9999"; calculated reg date will be the same as official reg date except in those cases where the county has used it as a record update field in which case the calculated registration date will be set to 30 days prior to the oldest recorded vote date as a better indicator of the true registration date of the voter"
"78","Voters_OfficialRegDate","30","As reported by election authority."
"79","Voters_PlaceOfBirth","50","Unformatted and non-standardized text field available only in some states."
"80","Languages_Description","50","Based on first and last name analysis and self-reported data; See Languages tab"
"81","AbsenteeTypes_Description","50","Military, Long Term, In State, Out of State, Permanent Out of Country, Mail Precinct, Special, Temporary, Permanent U.S., Federal"
"82","MilitaryStatus_Description","50","Military,Veteran"
"83","MaritalStatus_Description","50","Married,Non-Traditional"
"84","US_Congressional_District","100","District"
"85","AddressDistricts_Change_Changed_CD","35","Voter moved and changed CD"
"86","State_Senate_District","100","District"
"87","AddressDistricts_Change_Changed_SD","35","Voter moved and changed SD"
"88","State_House_District","100","District"
"89","AddressDistricts_Change_Changed_HD","35","Voter moved and changed HD"
"90","State_Legislative_District","100","District"
"91","AddressDistricts_Change_Changed_LD","35","Voter moved and changed LD"
"92","2001_US_Congressional_District","100","District"
"93","2001_State_Senate_District","100","District"
"94","2001_State_House_District","100","District"
"95","2001_State_Legislative_District","100","District"
"96","County","100","District"
"97","Voters_FIPS","4","District"
"98","AddressDistricts_Change_Changed_County","35","Voter moved and changed counties"
"99","Precinct","100","District"
"100","County_Commissioner_District","100","District"
"101","County_Supervisorial_District","100","District"
"102","County_Legislative_District","100","District"
"103","City","100","District"
"104","City_Council_Commissioner_District","100",""
"105","City_Ward","100","District"
"106","City_Mayoral_District","100","District"
"107","Town_District","100","District"
"108","Town_Ward","100","District"
"109","Town_Council","100","District"
"110","Village","100","District"
"111","Village_Ward","100","District"
"112","Township","100","District"
"113","Township_Ward","100","District"
"114","Borough","100","District"
"115","Borough_Ward","100","District"
"116","Hamlet_Community_Area","100",""
"117","4H_Livestock_District","100",""
"118","Airport_District","100","District"
"119","Annexation_District","100","District"
"120","Aquatic_Center_District","100","District"
"121","Aquatic_District","100","District"
"122","Assessment_District","100","District"
"123","Bay_Area_Rapid_Transit","100","District"
"124","Board_of_Education_District","100","District"
"125","Board_of_Education_SubDistrict","100","District"
"126","Bonds_District","100","District"
"127","Career_Center","100","District"
"128","Cemetery_District","100","District"
"129","Central_Committee_District","100",""
"130","Chemical_Control_District","100","District"
"131","City_School_District","100","District"
"132","Coast_Water_District","100","District"
"133","College_Board_District","100","District"
"134","Committee_Super_District","100",""
"135","Communications_District","100","District"
"136","Community_College","100","District"
"137","Community_College_Commissioner_District","100","District"
"138","Community_College_SubDistrict","100","District"
"139","Community_College_At_Large","100",""
"140","Community_Council_District","100","District"
"141","Community_Council_SubDistrict","100","District"
"142","Community_Facilities_District","100","District"
"143","Community_Facilities_SubDistrict","100","District"
"144","Community_Hospital_District","100","District"
"145","Community_Planning_Area","100","District"
"146","Community_Service_District","100","District"
"147","Community_Service_SubDistrict","100","District"
"148","Congressional_Township","100","District"
