"L2, Inc.","","",""
"18912 North Creek Parkway, Suite 201","","",""
"Bothell, WA 98011","","",""
"Phone: (800) 842-5478   Fax: (425) 822-0264","","",""
"Web: WWW.L2POLITICAL.COM   Email: operations@l2political.com","","",""
"","","",""
"State:","MA","",""
"Invoice:","VM2MA20211011","",""
"Customer:","VOTERMAPPING","",""
"Date:","10/11/2021","",""
"Description:","","",""
"","","",""
"Output file:","VM2--MA--2021-10-11.tab","",""
"","","",""
"","","",""
"No.","Field","Length","Description"
"1","Sequence_Num","10","Unique to each universe that is exported.  This is a simple sequence number assigned to the exported records that have been pre-sorted in zig-zag walking list order"
"2","LALVOTERID","25","Permanent and unique ID generated by L2 for a single voter"
"3","Voters_Active","3","Voters_Active"
"4","Voters_StateVoterID","50","State-supplied voter ID"
"5","Voters_CountyVoterID","50","If available"
"6","VoterTelephones_LandlineAreaCode","50",""
"7","VoterTelephones_Landline7Digit","50",""
"8","VoterTelephones_LandlineFormatted","15",""
"9","VoterTelephones_LandlineUnformatted","10",""
"10","VoterTelephones_LandlineConfidenceCode","3",""
"11","VoterTelephones_CellPhoneOnly","4",""
"12","VoterTelephones_CellPhoneFormatted","15",""
"13","VoterTelephones_CellPhoneUnformatted","10",""
"14","VoterTelephones_CellConfidenceCode","3",""
"15","Voters_FirstName","50",""
"16","Voters_MiddleName","50","Sometimes represented by just a middle initial."
"17","Voters_LastName","50",""
"18","Voters_NameSuffix","12","Jr., Sr, etc."
"19","Residence_Addresses_AddressLine","500",""
"20","Residence_Addresses_ExtraAddressLine","100",""
"21","Residence_Addresses_City","30",""
"22","Residence_Addresses_State","2",""
"23","Residence_Addresses_Zip","5",""
"24","Residence_Addresses_ZipPlus4","4",""
"25","Residence_Addresses_DPBC","4","Residence_Addresses_DPBC"
"26","Residence_Addresses_CheckDigit","1","Residence_Addresses_CheckDigit"
"27","Residence_Addresses_HouseNumber","12",""
"28","Residence_Addresses_PrefixDirection","2",""
"29","Residence_Addresses_StreetName","50",""
"30","Residence_Addresses_Designator","4",""
"31","Residence_Addresses_SuffixDirection","2",""
"32","Residence_Addresses_ApartmentNum","50",""
"33","Residence_Addresses_ApartmentType","8",""
"34","Residence_Addresses_CassErrStatCode","10","Residence_Addresses_CassErrStatCode"
"35","Voters_SequenceZigZag","10","Voters_SequenceZigZag"
"36","Voters_SequenceOddEven","10","Voters_SequenceOddEven"
"37","Residence_Addresses_CensusTract","6","6 digit census tract number"
"38","Residence_Addresses_CensusBlockGroup","1","Single digit number"
"39","Residence_Addresses_CensusBlock","4","4 digit number"
"40","Residence_Addresses_Latitude","9",""
"41","Residence_Addresses_Longitude","9",""
"42","Residence_Addresses_LatLongAccuracy","100","Residence_Addresses_LatLongAccuracy"
"43","Residence_Addresses_Property_LandSq_Footage","7","Residence_Addresses_LandSqFt"
"44","Residence_Addresses_Property_HomeSq_Footage","5","Residence_Addresses_HomeSqFt"
"45","Residence_Addresses_Density","50","Residence_Addresses_Density"
"46","Residence_Families_FamilyID","10","Unique alpha-numeric ID starting with an "R" for "Residence" that is common to all members of a residence household address but different from all other residence households."
"47","Residence_Families_HHCount","3","Total number of voters residing at the given residence address, 1 thru 10"
"48","Residence_HHGender_Description","50","Cannot Determine,Female Only Household,Male Only Household,Mixed Gender Household"
"49","Residence_HHParties_Description","50","Same as Mailing HH Parties calculation but based on those sharing the same residence address rather than those sharing the same mailing address"
"50","Mailing_Addresses_AddressLine","500",""
"51","Mailing_Addresses_ExtraAddressLine","100",""
"52","Mailing_Addresses_City","30",""
"53","Mailing_Addresses_State","2",""
"54","Mailing_Addresses_Zip","5",""
"55","Mailing_Addresses_ZipPlus4","4",""
"56","Mailing_Addresses_DPBC","4","Mailing_Addresses_DPBC"
